frame,total_ms,raster_ms,other_ms,flushes,tris,binned
432,16.226,14.799,1.427,2,52,3460
433,16.372,14.496,1.876,2,52,3440
434,16.845,14.676,2.168,2,52,3440
435,16.572,14.581,1.990,2,52,3460
436,16.797,14.713,2.085,2,52,3460
437,16.673,14.693,1.980,2,52,3440
438,16.608,14.657,1.951,2,52,3440
439,16.714,14.715,1.999,2,52,3460
440,16.520,14.555,1.965,2,52,3460
441,16.678,14.554,2.124,2,52,3440
442,16.538,14.449,2.089,2,52,3440
443,17.163,14.940,2.223,2,52,3460
444,16.637,14.916,1.721,2,52,3460
445,16.406,14.652,1.754,2,52,3440
446,17.233,15.220,2.013,2,52,3440
447,16.383,14.939,1.445,2,52,3460
448,16.478,14.748,1.729,2,52,3460
449,16.563,14.642,1.921,2,52,3440
450,16.832,14.802,2.030,2,52,3440
451,16.744,14.886,1.859,2,52,3460
452,16.505,14.723,1.782,2,52,3460
453,17.673,15.730,1.943,2,52,3440
454,15.989,14.908,1.081,2,52,3440
455,17.202,14.543,2.659,2,52,3440
456,17.037,14.517,2.520,2,52,3440
457,16.777,14.333,2.444,2,52,3440
458,18.057,15.388,2.669,2,52,3440
459,16.666,15.388,1.278,2,52,3440
460,16.412,15.076,1.336,2,52,3440
461,16.401,14.866,1.535,2,52,3460
462,16.947,15.145,1.801,2,52,3460
463,15.822,14.306,1.517,2,52,3440
464,16.812,14.455,2.358,2,52,3440
465,17.071,14.860,2.212,2,52,3460
466,16.764,14.946,1.818,2,52,3460
467,16.499,14.779,1.720,2,52,3440
468,16.228,14.342,1.886,2,52,3440
469,16.822,14.504,2.318,2,52,3460
470,16.622,14.451,2.171,2,52,3460
471,16.764,14.557,2.206,2,52,3440
472,16.461,14.351,2.110,2,52,3440
473,16.859,14.535,2.325,2,52,3460
474,16.794,14.668,2.126,2,52,3460
475,18.416,16.401,2.015,2,54,4080
476,17.524,16.464,1.060,2,54,4080
477,17.686,16.674,1.012,2,54,4100
478,18.730,17.605,1.125,2,54,4100
