# cpu: sse2=1 sse41=1 avx2=1 avx512=1
frame,total_ms,raster_ms,other_ms,flushes,tris,binned,area_px,bbox_px,tw,th,m_tex,m_bilin,m_over,m_add,m_blendoth,m_atest,m_ztest,m_flat,m_linv
115,16.661,5.434,11.227,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
116,16.546,5.310,11.236,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
117,16.696,5.334,11.361,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
118,16.755,5.428,11.327,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
119,16.572,5.325,11.246,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
120,16.920,5.585,11.335,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
121,16.387,5.304,11.084,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
122,16.665,5.295,11.370,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
123,16.898,5.531,11.367,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
124,16.787,5.626,11.161,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
125,16.312,5.295,11.017,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
126,16.780,5.407,11.374,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
127,16.867,5.607,11.260,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
128,16.395,5.337,11.059,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
129,16.804,5.477,11.326,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
130,16.724,5.531,11.193,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
131,16.541,5.404,11.137,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
132,16.685,5.422,11.263,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
133,17.146,5.912,11.234,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
134,16.128,5.358,10.769,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
135,16.722,5.415,11.307,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
136,16.750,5.503,11.247,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
137,16.544,5.377,11.166,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
138,16.676,5.355,11.321,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
139,16.829,5.551,11.278,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
140,16.461,5.341,11.120,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
141,16.791,5.467,11.324,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
142,16.737,5.538,11.198,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
143,16.451,5.340,11.111,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
144,16.763,5.424,11.340,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
145,16.801,5.548,11.253,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
146,16.366,5.279,11.087,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
147,16.884,5.498,11.386,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
148,16.693,5.522,11.171,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
149,16.448,5.303,11.145,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
150,16.813,5.450,11.363,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
151,16.768,5.548,11.219,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
152,16.410,5.293,11.117,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
153,16.863,5.494,11.370,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
154,16.586,5.411,11.174,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
155,16.608,5.348,11.259,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
156,16.665,5.351,11.314,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
157,16.894,5.584,11.310,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
158,16.426,5.344,11.082,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
159,16.746,5.416,11.330,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
160,16.882,5.637,11.245,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
161,16.606,5.571,11.035,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
162,16.640,5.539,11.101,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
163,16.651,5.536,11.115,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
164,16.551,5.412,11.140,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
165,16.663,5.409,11.254,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
166,16.693,5.435,11.258,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
167,16.551,5.319,11.232,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
168,16.738,5.387,11.351,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
169,16.815,5.547,11.267,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
170,16.406,5.278,11.128,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
171,16.898,5.512,11.386,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
172,16.678,5.530,11.148,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
173,16.532,5.390,11.142,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
174,17.077,5.796,11.281,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
175,16.654,5.782,10.872,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
176,16.542,5.660,10.882,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
177,16.623,5.610,11.013,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
178,16.883,5.832,11.051,2,6,1000,1883722,3768304,2048,1024,1883722,916168,967554,0,0,967554,0,1883722,962122
