frame,total_ms,raster_ms,other_ms,flushes,tris,binned,area_px,bbox_px,tw,th
273,16.669,7.475,9.195,2,8,1640,3524836,6333732,2048,1024
274,16.680,7.489,9.191,2,8,1640,3524836,6333732,2048,1024
275,16.595,7.416,9.179,2,8,1640,3524836,6333732,2048,1024
276,16.823,7.570,9.252,2,8,1640,3524836,6333732,2048,1024
277,16.703,7.605,9.098,2,8,1640,3524836,6333732,2048,1024
278,16.482,7.425,9.057,2,8,1640,3524836,6333732,2048,1024
279,16.618,7.377,9.241,2,8,1640,3524836,6333732,2048,1024
280,16.949,7.665,9.285,2,8,1640,3524836,6333732,2048,1024
281,16.454,7.446,9.008,2,8,1640,3524836,6333732,2048,1024
282,16.803,7.582,9.221,2,8,1640,3524836,6333732,2048,1024
283,16.720,7.593,9.126,2,8,1640,3524836,6333732,2048,1024
284,16.684,7.653,9.032,2,8,1640,3524836,6333732,2048,1024
285,16.541,7.526,9.015,2,8,1640,3524836,6333732,2048,1024
286,16.706,7.567,9.139,2,8,1640,3524836,6333732,2048,1024
287,16.537,7.437,9.100,2,8,1640,3524836,6333732,2048,1024
288,16.754,7.527,9.227,2,8,1640,3524836,6333732,2048,1024
289,16.760,7.615,9.144,2,8,1640,3524836,6333732,2048,1024
290,16.494,7.449,9.046,2,8,1640,3524836,6333732,2048,1024
291,16.652,7.418,9.233,2,8,1640,3524836,6333732,2048,1024
292,16.859,7.611,9.248,2,8,1640,3524836,6333732,2048,1024
293,16.512,7.459,9.053,2,8,1640,3524836,6333732,2048,1024
294,16.670,7.467,9.203,2,8,1640,3524836,6333732,2048,1024
295,16.710,7.499,9.211,2,8,1640,3524836,6333732,2048,1024
296,16.675,7.508,9.167,2,8,1640,3524836,6333732,2048,1024
297,15.157,6.026,9.131,2,4,1120,2557282,4397764,2048,1024
298,45.286,17.688,27.598,2,56,4720,9369534,17085586,2048,1024
299,17.665,16.605,1.060,2,54,4080,7796522,14622438,2048,1024
300,18.275,17.215,1.059,2,54,4080,7796522,14622438,2048,1024
301,19.021,17.555,1.467,2,54,4100,7862518,14717654,2048,1024
302,18.302,17.169,1.133,2,54,4100,7862518,14717654,2048,1024
303,18.303,17.249,1.054,2,54,4080,7788881,14609518,2048,1024
304,17.839,16.721,1.117,2,54,4080,7788881,14609518,2048,1024
305,18.522,17.400,1.122,2,54,4100,7854800,14708628,2048,1024
